"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/AMC23__MAX"
"0","0.125","0.125","0.125","0.125","0.125","0.125"
"4","0.175","0.175","0.175","0.125","0.125","0.125"
"8","0.15","0.15","0.15","0.2","0.2","0.2"
"12","0.1","0.1","0.1","0.2","0.2","0.2"
"16","0.125","0.125","0.125","0.225","0.225","0.225"
"20","0.125","0.125","0.125","0.25","0.25","0.25"
"24","0.15","0.15","0.15","0.2","0.2","0.2"
"28","0.125","0.125","0.125","0.25","0.25","0.25"
"32","0.2","0.2","0.2","0.275","0.275","0.275"
"36","0.325","0.325","0.325","0.225","0.225","0.225"
"40","0.175","0.175","0.175","0.275","0.275","0.275"
"44","0.3","0.3","0.3","0.275","0.275","0.275"
"48","0.225","0.225","0.225","0.375","0.375","0.375"
"52","0.2","0.2","0.2","0.3","0.3","0.3"
"56","0.3","0.3","0.3","0.25","0.25","0.25"
"60","0.275","0.275","0.275","0.275","0.275","0.275"
"64","0.275","0.275","0.275","0.275","0.275","0.275"
"68","0.225","0.225","0.225","0.225","0.225","0.225"
"72","0.2","0.2","0.2","0.2","0.2","0.2"
"76","0.3","0.3","0.3","0.125","0.125","0.125"
"80","0.3","0.3","0.3","0.1","0.1","0.1"
"84","0.25","0.25","0.25","","",""
"88","0.2","0.2","0.2","","",""
"92","0.225","0.225","0.225","","",""
"96","0.225","0.225","0.225","","",""
"100","0.4","0.4","0.4","","",""
"104","0.25","0.25","0.25","","",""
"108","0.3","0.3","0.3","","",""
"112","0.225","0.225","0.225","","",""
"116","0.35","0.35","0.35","","",""
"120","0.25","0.25","0.25","","",""
"124","0.175","0.175","0.175","","",""
"128","0.25","0.25","0.25","","",""
"132","0.175","0.175","0.175","","",""
"136","0.25","0.25","0.25","","",""
"140","0.175","0.175","0.175","","",""
"144","0.3","0.3","0.3","","",""
"148","0.275","0.275","0.275","","",""
"152","0.225","0.225","0.225","","",""
"156","0.275","0.275","0.275","","",""
"160","0.275","0.275","0.275","","",""
"164","0.325","0.325","0.325","","",""
"168","0.35","0.35","0.35","","",""
"172","0.275","0.275","0.275","","",""
"176","0.275","0.275","0.275","","",""
"180","0.35","0.35","0.35","","",""
"184","0.275","0.275","0.275","","",""
"188","0.325","0.325","0.325","","",""
"192","0.35","0.35","0.35","","",""
"196","0.3","0.3","0.3","","",""
"200","0.25","0.25","0.25","","",""
"204","0.275","0.275","0.275","","",""