"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench__MAX"
"0","0","0","0","0.004457652303120356","0.004457652303120356","0.004457652303120356"
"4","0","0","0","0.005943536404160475","0.005943536404160475","0.005943536404160475"
"8","0","0","0","0.008915304606240713","0.008915304606240713","0.008915304606240713"
"12","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0.014858841010401188","0.014858841010401188","0.014858841010401188"
"16","0.004457652303120356","0.004457652303120356","0.004457652303120356","0.0237741456166419","0.0237741456166419","0.0237741456166419"
"20","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.03863298662704309","0.03863298662704309","0.03863298662704309"
"24","0.02674591381872214","0.02674591381872214","0.02674591381872214","0.06835066864784546","0.06835066864784546","0.06835066864784546"
"28","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.09955423476968796","0.09955423476968796","0.09955423476968796"
"32","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.10846953937592868","0.10846953937592868","0.10846953937592868"
"36","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"40","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"44","0.06686478454680535","0.06686478454680535","0.06686478454680535","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"48","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.1515601783060921","0.1515601783060921","0.1515601783060921"
"52","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.150074294205052","0.150074294205052","0.150074294205052"
"56","0.06240713224368499","0.06240713224368499","0.06240713224368499","0.18424962852897475","0.18424962852897475","0.18424962852897475"
"60","0.0638930163447251","0.0638930163447251","0.0638930163447251","0.1723625557206538","0.1723625557206538","0.1723625557206538"
"64","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.19167904903417535","0.19167904903417535","0.19167904903417535"
"68","0.06686478454680535","0.06686478454680535","0.06686478454680535","0.1664190193164933","0.1664190193164933","0.1664190193164933"
"72","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.1664190193164933","0.1664190193164933","0.1664190193164933"
"76","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.17533432392273401","0.17533432392273401","0.17533432392273401"
"80","0.0713224368499257","0.0713224368499257","0.0713224368499257","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"84","0.0861812778603269","0.0861812778603269","0.0861812778603269","0.1099554234769688","0.1099554234769688","0.1099554234769688"
"88","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.06240713224368499","0.06240713224368499","0.06240713224368499"
"92","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.04903417533432392","0.04903417533432392","0.04903417533432392"
"96","0.0950965824665676","0.0950965824665676","0.0950965824665676","","",""
"100","0.08320950965824665","0.08320950965824665","0.08320950965824665","","",""
"104","0.09361069836552749","0.09361069836552749","0.09361069836552749","","",""
"108","0.07578008915304606","0.07578008915304606","0.07578008915304606","","",""
"112","0.09063893016344725","0.09063893016344725","0.09063893016344725","","",""
"116","0.09806835066864784","0.09806835066864784","0.09806835066864784","","",""
"120","0.08320950965824665","0.08320950965824665","0.08320950965824665","","",""
"124","0.09063893016344725","0.09063893016344725","0.09063893016344725","","",""
"128","0.0787518573551263","0.0787518573551263","0.0787518573551263","","",""
"132","0.07578008915304606","0.07578008915304606","0.07578008915304606","","",""
"136","0.08766716196136701","0.08766716196136701","0.08766716196136701","","",""
"140","0.08469539375928678","0.08469539375928678","0.08469539375928678","","",""
"144","0.09658246656760773","0.09658246656760773","0.09658246656760773","","",""
"148","0.0950965824665676","0.0950965824665676","0.0950965824665676","","",""
"152","0.09361069836552749","0.09361069836552749","0.09361069836552749","","",""
"156","0.09658246656760773","0.09658246656760773","0.09658246656760773","","",""
"160","0.10846953937592868","0.10846953937592868","0.10846953937592868","","",""
"164","0.1025260029717682","0.1025260029717682","0.1025260029717682","","",""
"168","0.10401188707280833","0.10401188707280833","0.10401188707280833","","",""
"172","0.10401188707280833","0.10401188707280833","0.10401188707280833","","",""
"176","0.10549777117384844","0.10549777117384844","0.10549777117384844","","",""
"180","0.1025260029717682","0.1025260029717682","0.1025260029717682","","",""
"184","0.10549777117384844","0.10549777117384844","0.10549777117384844","","",""
"188","0.10698365527488855","0.10698365527488855","0.10698365527488855","","",""
"192","0.10549777117384844","0.10549777117384844","0.10549777117384844","","",""
"196","0.09658246656760773","0.09658246656760773","0.09658246656760773","","",""
"200","0.1099554234769688","0.1099554234769688","0.1099554234769688","","",""
"204","0.11589895988112928","0.11589895988112928","0.11589895988112928","","",""
"208","0.10549777117384844","0.10549777117384844","0.10549777117384844","","",""
"212","0.09361069836552749","0.09361069836552749","0.09361069836552749","","",""
"216","0.09658246656760773","0.09658246656760773","0.09658246656760773","","",""
"220","0.0861812778603269","0.0861812778603269","0.0861812778603269","","",""
"224","0.09806835066864784","0.09806835066864784","0.09806835066864784","","",""
"228","0.09063893016344725","0.09063893016344725","0.09063893016344725","","",""
"232","0.10846953937592868","0.10846953937592868","0.10846953937592868","","",""
"236","0.11589895988112928","0.11589895988112928","0.11589895988112928","","",""
"240","0.11292719167904904","0.11292719167904904","0.11292719167904904","","",""
"244","0.1188707280832095","0.1188707280832095","0.1188707280832095","","",""
"248","0.1099554234769688","0.1099554234769688","0.1099554234769688","","",""
"252","0.10698365527488855","0.10698365527488855","0.10698365527488855","","",""
"256","0.10698365527488855","0.10698365527488855","0.10698365527488855","","",""