"Step","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MAX"
"120","0.2","0.2","0.2"
"124","0.15","0.15","0.15"
"128","0.2","0.2","0.2"
"132","0.2","0.2","0.2"
"136","0.225","0.225","0.225"
"140","0.25","0.25","0.25"
"144","0.225","0.225","0.225"
"148","0.225","0.225","0.225"
"152","0.275","0.275","0.275"
"156","0.125","0.125","0.125"
"160","0.3","0.3","0.3"
"164","0.2","0.2","0.2"
"168","0.1875","0.15","0.225"
"172","0.15","0.15","0.15"
"176","0.125","0.125","0.125"
"180","0.175","0.175","0.175"
"184","0.125","0.125","0.125"
"188","0.175","0.175","0.175"
"192","0.2","0.2","0.2"
"196","0.2","0.2","0.2"